"cohort","age","period","window_end_period","loans_at_risk","defaults_3m","rd3m","q","y_logit","mu","residual_after_mean","age_effect","residual_after_age","cohort_effect","residual_after_cohort","period_effect","residual_after_period","fitted_logit","fitted_rd3m","reconstructed_q","risk_base","risk_after_age","risk_after_cohort","risk_after_period","contribution_age","contribution_cohort","contribution_period","contribution_residual","reconstructed_rd3m"
"2018-11-01",10,"2019-09-01","2019-11-01",1148,19,0.0165505226480836,0.0169712793733681,-4.05911587033836,-3.80673473380674,-0.252381136531615,0.249100324734697,-0.501481461266312,-0.383668128956006,-0.117813332310306,0.279939824453181,-0.397753156763488,-3.66136271357487,0.0250536550016746,0.0169712793733682,0.0217375941071289,0.0277160988991316,0.019052837847977,0.0250536550016746,0.00597850479200264,-0.00866326105115463,0.00600081715369761,-0.00850313235359094,0.0165505226480836
"2018-11-01",11,"2019-10-01","2019-12-01",1102,22,0.0199637023593466,0.0203989120580236,-3.87166386673657,-3.80673473380674,-0.0649291329298247,0.289264109856582,-0.354193242786407,-0.383668128956006,0.0294748861695991,0.327238288421553,-0.297763402251954,-3.57390046448461,0.0272811138233192,0.0203989120580236,0.0217375941071289,0.0288192054610655,0.0198181728886353,0.0272811138233192,0.00708161135393656,-0.00900103257243017,0.00746294093468383,-0.00731741146397252,0.0199637023593466
"2018-11-01",12,"2019-11-01","2020-01-01",1061,21,0.0197926484448633,0.0202448210922787,-3.87940371070007,-3.80673473380674,-0.0726689768933308,0.294297372332265,-0.366966349225596,-0.383668128956006,0.0167017797304098,0.340221937540722,-0.323520157810313,-3.55588355288976,0.0277633198607985,0.0202448210922787,0.0217375941071289,0.0289604143169464,0.0199161827618242,0.0277633198607985,0.00722282020981744,-0.00904423155512219,0.00784713709897431,-0.00797067141593516,0.0197926484448633
"2018-11-01",13,"2019-12-01","2020-02-01",1033,22,0.021297192642788,0.0217601547388781,-3.80567434739743,-3.80673473380674,0.00106038640931549,0.303514845354915,-0.302454458945599,-0.383668128956006,0.0812136700104068,0.398743386412819,-0.317529716402412,-3.48814463099501,0.0296514407275491,0.0217601547388782,0.0217375941071289,0.0292207539062206,0.0200969019201132,0.0296514407275491,0.0074831597990917,-0.00912385198610748,0.00955453880743592,-0.00835424808476109,0.021297192642788
"2018-11-01",14,"2020-01-01","2020-03-01",993,15,0.0151057401812689,0.0155935613682093,-4.14518076291093,-3.80673473380674,-0.338446029104189,0.282992614882479,-0.621438643986668,-0.383668128956006,-0.237770515030662,0.267163533020558,-0.50493404805122,-3.64024671485971,0.0255746393156196,0.0155935613682093,0.0217375941071289,0.028644192466134,0.0196967126795981,0.0255746393156196,0.0069065983590051,-0.00894747978653597,0.00587792663602153,-0.0104688991343507,0.0151057401812689
"2018-11-01",15,"2020-02-01","2020-04-01",968,13,0.0134297520661157,0.0139318885448916,-4.25954507823594,-3.80673473380674,-0.452810344429203,0.290285959980498,-0.743096304409701,-0.383668128956006,-0.359428175453695,0.020954849412792,-0.380383024866487,-3.87916205336946,0.0202496149135285,0.0139318885448916,0.0217375941071289,0.0288478194500509,0.0198380324920868,0.0202496149135285,0.00711022534292199,-0.00900978695796418,0.000411582421441709,-0.00681986284741276,0.0134297520661157
"2018-11-01",16,"2020-03-01","2020-05-01",958,12,0.0125260960334029,0.0130344108446298,-4.32704232634112,-3.80673473380674,-0.520307592534381,0.255943184868061,-0.776250777402441,-0.383668128956006,-0.392582648446435,-0.109104323685269,-0.283478324761166,-4.04356400157996,0.0172326936413589,0.0130344108446298,0.0217375941071289,0.02790109687394,0.0191811515080636,0.0172326936413589,0.00616350276681102,-0.00871994536587635,-0.00194845786670469,-0.00470659760795599,0.0125260960334029
"2018-11-01",17,"2020-04-01","2020-06-01",937,12,0.0128068303094984,0.0133262260127932,-4.3046054877053,-3.80673473380674,-0.497870753898556,0.264080020949498,-0.761950774848054,-0.383668128956006,-0.378282645892048,-0.0839574631687652,-0.294325182723283,-4.01028030498201,0.0178055288664533,0.0133262260127932,0.0217375941071289,0.028122639040942,0.0193348321204284,0.0178055288664533,0.00638504493381307,-0.00878780692051366,-0.00152930325397505,-0.00499869855695491,0.0128068303094984
"2018-11-01",18,"2020-05-01","2020-07-01",916,17,0.0185589519650655,0.0190839694656489,-3.93963817246112,-3.80673473380674,-0.132903438654378,0.253616829857505,-0.386520268511883,-0.383668128956006,-0.00285213955587754,0.147768516703317,-0.150620656259194,-3.78901751620193,0.0221175617076262,0.0190839694656489,0.0217375941071289,0.0278380692675519,0.0191374341646921,0.0221175617076262,0.00610047516042296,-0.00870063510285982,0.00298012754293416,-0.00355860974256074,0.0185589519650655
"2018-11-01",19,"2020-06-01","2020-08-01",895,24,0.0268156424581006,0.02734375,-3.57154274740939,-3.80673473380674,0.235191986397347,0.241048700025503,-0.00585671362815576,-0.383668128956006,0.37781141532785,0.304798858195984,0.0730125571318664,-3.64455530454126,0.025467485972464,0.02734375,0.0217375941071289,0.0274999475031061,0.0189029356652874,0.025467485972464,0.00576235339597715,-0.00859701183781871,0.00656455030717664,0.00134815648563654,0.0268156424581006
"2018-11-01",20,"2020-07-01","2020-09-01",871,23,0.026406429391504,0.0269495412844037,-3.58646966352417,-3.80673473380674,0.220265070282573,0.19016434378928,0.0301007264932938,-0.383668128956006,0.4137688554493,0.275080610897249,0.138688244552051,-3.72515790807622,0.0235417188743208,0.0269495412844037,0.0217375941071289,0.0261713416691865,0.0179819975558548,0.0235417188743208,0.00443374756205756,-0.00818934411333165,0.00555972131846596,0.00286471051718322,0.026406429391504
"2018-11-01",21,"2020-08-01","2020-10-01",843,19,0.0225385527876631,0.0231042654028436,-3.74436267642995,-3.80673473380674,0.0623720573767885,0.159736706239509,-0.0973646488627205,-0.383668128956006,0.286303480093285,0.214259832349531,0.0720436477437542,-3.81640632417371,0.0215328755834264,0.0231042654028436,0.0217375941071289,0.0254069305137959,0.0174524936080337,0.0215328755834264,0.00366933640666691,-0.00795443690576218,0.00408038197539276,0.00100567720423667,0.0225385527876631
