"period","base","age_component","cohort_component","period_component","residual_component","fitted_rd3m","reconstructed_rd3m","loans_at_risk","defaults_3m","observed_rd3m"
"2020-09-01",0.0217375941071289,0.00281286543367504,-0.00563013226034775,0.00285744697099622,-0.000643514360127322,0.0217777742514524,0.0211342598913251,36623,774,0.0211342598913251
"2020-10-01",0.0217375941071289,0.00290265427412937,-0.00572035243647372,0.00409447907441004,-0.000347853825588181,0.0230143750191946,0.0226665211936065,36662,831,0.0226665211936065
"2020-11-01",0.0217375941071289,0.00294648701238941,-0.00579604005142082,0.00648144424254905,1.06730093120674e-05,0.0253694853106466,0.0253801583199587,36761,933,0.0253801583199587
"2020-12-01",0.0217375941071289,0.00247115272078706,-0.00564392542201473,0.00314447739833348,0.00106074259584052,0.0217092988042348,0.0227700414000753,37198,847,0.0227700414000753
"2021-01-01",0.0217375941071289,0.00200619547989963,-0.00550363974825577,-0.000302218728115546,0.00119296449082658,0.0179379311106573,0.0191308956014838,37740,722,0.0191308956014838
"2021-02-01",0.0217375941071289,0.0018421457666516,-0.0053985760849205,-0.00425853824020186,7.46329920419454e-05,0.0139226255486582,0.0139972585407001,37936,531,0.0139972585407001
"2021-03-01",0.0217375941071289,0.00171884303130369,-0.00523885043671381,-0.00730136418974267,0.000202737276632797,0.0109162225119762,0.011118959788609,38223,425,0.011118959788609
"2021-04-01",0.0217375941071289,0.00145711567108561,-0.004979373505063,-0.00788468071442154,-0.000167530976833244,0.01033065555873,0.0101631245818968,38866,395,0.0101631245818968
"2021-05-01",0.0217375941071289,0.00120672882236468,-0.00461119174914347,-0.00822677700625433,-0.000192159765298863,0.0101063541740958,0.00991419440879696,39741,394,0.00991419440879696
"2021-06-01",0.0217375941071289,0.000985870580967087,-0.00423457099802821,-0.00840276172720642,-6.82516385662025e-05,0.0100861319628614,0.0100178803242952,40827,409,0.0100178803242952
"2021-07-01",0.0217375941071289,0.00076336585039031,-0.00380783639529659,-0.00832785701253864,9.02426994203121e-05,0.010365266549684,0.0104555092491043,41031,429,0.0104555092491043
"2021-08-01",0.0217375941071289,0.000613933398754602,-0.00340310400786356,-0.00848619664976183,0.000286305795880873,0.0104622268482582,0.010748532644139,41401,445,0.010748532644139
"2021-09-01",0.0217375941071289,0.000541508873339028,-0.00294613068843757,-0.00859869187161698,-9.17053902594604e-05,0.0107342804204134,0.010642575030154,42283,450,0.010642575030154
"2021-10-01",0.0217375941071289,0.000770933214187328,-0.00240020338537726,-0.0094370252980592,-0.000344397176658376,0.0106712986378798,0.0103269014612214,42704,441,0.0103269014612214
"2021-11-01",0.0217375941071289,0.000697325692897671,-0.00169751474343289,-0.00993962063319111,-0.000401869514195139,0.0107977844234026,0.0103959149092075,43671,454,0.0103959149092075
"2021-12-01",0.0217375941071289,0.000574731000350145,-0.000880803988938475,-0.00920419168264353,-0.000361599537380301,0.0122273294358971,0.0118657298985168,44835,532,0.0118657298985168
"2022-01-01",0.0217375941071289,0.000732828515606008,-0.000102364890476069,-0.00965023557874351,-2.84157186447976e-05,0.0127178221535154,0.0126894064348706,45471,577,0.0126894064348706
"2022-02-01",0.0217375941071289,0.00123841656429406,0.000663909729094774,-0.00641534560114816,-0.000119050266736699,0.0172245747993696,0.0171055245326329,45307,775,0.0171055245326329
"2022-03-01",0.0217375941071289,0.00138914633540037,0.00143828213692389,-0.000642438510567081,-7.35908544662142e-05,0.0239225840688861,0.0238489932144199,45243,1079,0.0238489932144199
"2022-04-01",0.0217375941071289,0.00143931357359494,0.00222760086814166,0.0036813570659666,0.000590590770434989,0.0290858656148321,0.0296764563852671,45558,1352,0.0296764563852671
"2022-05-01",0.0217375941071289,0.00138103844175734,0.00307762630000323,0.00505471855907549,0.000916126685044133,0.031250977407965,0.0321671040930091,46103,1483,0.0321671040930091
"2022-06-01",0.0217375941071289,0.00144795109788907,0.00388653185929538,0.00463317591490136,0.000621959908365359,0.0317052529792148,0.0323272128875801,46184,1493,0.0323272128875801
"2022-07-01",0.0217375941071289,0.00162992837955156,0.00472337038530933,0.00933054754317659,-0.000226757683190785,0.0374214404151664,0.0371946827319756,45813,1704,0.0371946827319756
"2022-08-01",0.0217375941071289,0.00178616152135479,0.00541312239003557,0.00927519780035439,0.000953911265387177,0.0382120758188737,0.0391659870842609,45371,1777,0.0391659870842609
"2022-09-01",0.0217375941071289,0.00186097382535246,0.00610905684619856,0.00990721173303341,0.000825186788909469,0.0396148365117134,0.0404400233006228,44634,1805,0.0404400233006228
"2022-10-01",0.0217375941071289,0.00202408618603973,0.00692527817850663,0.0113650678095498,-0.000609343074241412,0.0420520262812251,0.0414426832069837,43530,1804,0.0414426832069837
"2022-11-01",0.0217375941071289,0.00204784503518161,0.00771679813589537,0.0156503798535639,0.000135542174297377,0.0471526171317699,0.0472881593060672,42886,2028,0.0472881593060673
"2022-12-01",0.0217375941071289,0.00208435982703885,0.00851652354230761,0.0191335948772486,-0.000582451656716225,0.051472072353724,0.0508896206970077,42209,2148,0.0508896206970077
"2023-01-01",0.0217375941071289,0.00207966915774191,0.00914779812086844,0.0165416781276615,0.000588027886613649,0.0495067395134007,0.0500947674000144,41681,2088,0.0500947674000144
"2023-02-01",0.0217375941071289,0.00291613889278397,0.0100038036452253,0.0156942106723803,-0.00161519363373523,0.0503517473175185,0.0487365536837832,39416,1921,0.0487365536837832
"2023-03-01",0.0217375941071289,0.00355352802931475,0.0105716480888095,0.0140430408696375,-0.00162609230494614,0.0499058110948908,0.0482797187899446,37552,1813,0.0482797187899446
"2023-04-01",0.0217375941071289,0.00395247738957201,0.0110621068095364,0.0130815900324214,-0.00169915885683832,0.0498337683386588,0.0481346094818205,35837,1725,0.0481346094818205
"2023-05-01",0.0217375941071289,0.00426624380587551,0.0114335683806932,0.0120229657695518,-0.00143052827681901,0.0494603720632494,0.0480298437864304,34312,1648,0.0480298437864304
"2023-06-01",0.0217375941071289,0.00452096902786212,0.0118137315421159,0.00976985632993422,-0.00148250322991109,0.0478421510070412,0.0463596477771301,32593,1511,0.0463596477771301
"2023-07-01",0.0217375941071289,0.00469315541391544,0.0121080203924818,0.0077190446363709,-0.00174122930947541,0.0462578145498971,0.0445165852404217,31112,1385,0.0445165852404217
"2023-08-01",0.0217375941071289,0.00477826736218641,0.0123675977367505,0.00275347533155649,-0.00148836117952683,0.0416369345376224,0.0401485733580956,29615,1189,0.0401485733580956
"2023-09-01",0.0217375941071289,0.00482479151284277,0.012660809554717,0.000528789427946124,-0.00144867916924,0.0397519846026348,0.0383033054333948,28196,1080,0.0383033054333948
"2023-10-01",0.0217375941071289,0.0048420679854354,0.0131432500453262,-0.00094374783125805,-0.00126318806424466,0.0387791643066325,0.0375159762423878,26602,998,0.0375159762423878
"2023-11-01",0.0217375941071289,0.00479407328442028,0.013587393032111,-0.000656271512552467,-0.00091096874003152,0.0394627889111077,0.0385518201710762,25135,969,0.0385518201710762
"2023-12-01",0.0217375941071289,0.00464001135525598,0.0139376666985643,0.000740501247543095,-0.000764735851189021,0.0410557734084923,0.0402910375573033,23777,958,0.0402910375573033
"2024-01-01",0.0217375941071289,0.00447563055465694,0.0141680339030697,0.00238889680599685,-0.000796272453556487,0.0427701553708524,0.0419738829172959,22514,945,0.0419738829172959
"2024-02-01",0.0217375941071289,0.00428175089625209,0.0144029016243574,0.00158572161305429,-0.000846769279263315,0.0420079682407927,0.0411611989615294,21185,872,0.0411611989615294
"2024-03-01",0.0217375941071289,0.00411790245473757,0.0146657003390051,-0.00323960557144761,-0.000578793245229362,0.037281591329424,0.0367027980841946,19835,728,0.0367027980841946
"2024-04-01",0.0217375941071289,0.00391933296366644,0.0150043641980388,-0.00600787655326032,-0.000475517141449884,0.0346534147155739,0.034177897574124,18550,634,0.034177897574124
"2024-05-01",0.0217375941071289,0.00379022895454192,0.0153989181089355,-0.00506251310598012,-0.000343037436174395,0.0358642280646262,0.0355211906284518,17201,611,0.0355211906284518
"2024-06-01",0.0217375941071289,0.0036347286538467,0.0159192828665985,-0.00169327676857019,2.79800004856517e-05,0.039598328859004,0.0396263088594896,15949,632,0.0396263088594896
"2024-07-01",0.0217375941071289,0.00350246295255217,0.0163262095224,0.000495539309031697,-0.000170926523222383,0.0420618058911129,0.0418908793678905,14681,615,0.0418908793678905
"2024-08-01",0.0217375941071289,0.00334727942957938,0.0162315493510635,-0.00172891397400885,-0.000231910855796184,0.0395875089137629,0.0393555980579667,13594,535,0.0393555980579667
"2024-09-01",0.0217375941071289,0.00325102609562744,0.016224653496676,-0.00451939754358505,-0.000115464750552053,0.0366938761558474,0.0365784114052953,12275,449,0.0365784114052953
"2024-10-01",0.0217375941071289,0.00319809787445331,0.0162754444823811,-0.007745354429006,-0.000229577336359646,0.0334657820349574,0.0332362046985977,10982,365,0.0332362046985977
"2024-11-01",0.0217375941071289,0.00324565484268241,0.0164410718393088,-0.00954615281207659,-0.000183082721276236,0.0318781679770435,0.0316950852557673,9970,316,0.0316950852557673
